
2024/10/28 (20:57:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (20:57:19) | ===> btop++ v.1.4.0
2024/10/28 (20:57:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (20:57:35) | ===> btop++ v.1.4.0
2024/10/28 (20:57:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (21:14:09) | ===> btop++ v.1.4.0
2024/10/28 (21:14:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (21:14:20) | ===> btop++ v.1.4.0
2024/10/28 (21:14:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (21:18:32) | ===> btop++ v.1.4.0
2024/10/28 (21:18:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (21:19:21) | ===> btop++ v.1.4.0
2024/10/30 (21:19:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (23:36:09) | ===> btop++ v.1.4.0
2024/10/30 (23:36:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (17:40:28) | ===> btop++ v.1.4.0
2024/11/03 (17:40:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (17:47:44) | ===> btop++ v.1.4.0
2024/11/04 (17:47:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (19:41:24) | ===> btop++ v.1.4.0
2024/11/04 (19:41:24) | WARNING: Intel GPU: Failed to initialize PMU
